combi               	x    	y    	z    	fixed	2D   	3D   
[[139 141]]         	 1266	 2498	 1603	   73	   63	   79	
[[139 143]]         	 1229	 2433	 1652	   35	   35	   35	
[[139 145]]         	 1220	 2403	 1648	   55	   55	   55	
[[141 143]]         	 1223	 2547	 1610	  114	  119	  126	
[[141 145]]         	 1318	 2421	 1611	   45	   56	   68	
[[143 145]]         	 1222	 2402	 1664	   53	   53	   55	
[[139 141 143]]     	 1245	 2512	 1622	   77	   80	   85	
[[139 141 145]]     	 1255	 2447	 1622	   15	   15	   32	
[[139 143 145]]     	 1222	 2405	 1655	   52	   52	   52	
[[141 143 145]]     	 1232	 2459	 1630	   38	   40	   45	
[[139 141 143 145]] 	 1238	 2454	 1632	   31	   32	   37	
