combi               	x    	y    	z    	fixed	2D   	3D   
[[139 141]]         	 2841	 2564	    1	    4	    5	    5	
[[139 143]]         	 2840	 2559	   -1	    2	    1	    3	
[[139 145]]         	 2838	 2557	   -1	    3	    4	    4	
[[141 143]]         	 2843	 2563	   -2	    2	    4	    5	
[[141 145]]         	 2840	 2560	    1	    0	    0	    1	
[[143 145]]         	 2838	 2555	    1	    5	    5	    5	
[[139 141 143]]     	 2842	 2562	   -1	    2	    3	    3	
[[139 141 145]]     	 2840	 2560	    1	    0	    0	    0	
[[139 143 145]]     	 2839	 2557	   -0	    4	    4	    4	
[[141 143 145]]     	 2840	 2559	    0	    1	    1	    1	
[[139 141 143 145]] 	 2840	 2559	   -0	    1	    1	    1	
