combi               	x    	y    	z    	fixed	2D   	3D   
[[139 141]]         	 2000	 2009	    6	    6	    9	   10	
[[139 143]]         	 1998	 1996	    1	    4	    5	    5	
[[139 145]]         	 1995	 1996	    1	    6	    6	    6	
[[141 143]]         	 2003	 2003	   -1	    4	    5	    5	
[[141 145]]         	 2006	 1999	    3	    6	    6	    6	
[[143 145]]         	 1999	 1995	    2	    5	    5	    5	
[[139 141 143]]     	 2001	 2003	    1	    3	    3	    3	
[[139 141 145]]     	 2001	 2001	    3	    0	    1	    2	
[[139 143 145]]     	 1997	 1996	    2	    5	    5	    5	
[[141 143 145]]     	 2002	 1999	    1	    2	    2	    2	
[[139 141 143 145]] 	 2000	 1999	    2	    1	    1	    1	
