combi               	x    	y    	z    	fixed	2D   	3D   
[[139 141]]         	 3614	 3095	 1646	  109	  108	  108	
[[139 143]]         	 3631	 3074	 1642	   79	   81	   81	
[[139 145]]         	 3618	 3079	 1593	   89	   93	  109	
[[141 143]]         	 3651	 3079	 1677	   76	   75	   79	
[[141 145]]         	 3762	 3023	 1645	   87	   83	   84	
[[143 145]]         	 3653	 3066	 1637	   60	   62	   64	
[[139 141 143]]     	 3633	 3082	 1655	   85	   86	   86	
[[139 141 145]]     	 3623	 3081	 1624	   91	   91	   95	
[[139 143 145]]     	 3635	 3070	 1625	   74	   75	   79	
[[141 143 145]]     	 3657	 3070	 1651	   64	   64	   64	
[[139 141 143 145]] 	 3637	 3075	 1639	   77	   78	   78	
