combi               	x    	y    	z    	fixed	2D   	3D   
[[139 141]]         	 2220	 2279	 1619	   24	   17	   35	
[[139 143]]         	 2233	 2304	 1625	   28	   37	   44	
[[139 145]]         	 2223	 2290	 1629	   25	   25	   32	
[[141 143]]         	 2227	 2278	 1624	   11	   13	   29	
[[141 145]]         	 2178	 2301	 1626	   51	   64	   68	
[[143 145]]         	 2230	 2287	 1632	   17	   20	   27	
[[139 141 143]]     	 2224	 2280	 1624	   15	   15	   30	
[[139 141 145]]     	 2219	 2286	 1625	   24	   23	   34	
[[139 143 145]]     	 2228	 2289	 1629	   20	   22	   30	
[[141 143 145]]     	 2226	 2284	 1628	   16	   18	   28	
[[139 141 143 145]] 	 2225	 2285	 1627	   19	   19	   30	
