combi               	x    	y    	z    	fixed	2D   	3D   
[[139 141]]         	 2220	 2279	 1619	  235	  234	  236	
[[139 143]]         	 2233	 2304	 1625	  214	  257	  258	
[[139 145]]         	 2223	 2290	 1629	  245	  241	  242	
[[141 143]]         	 2227	 2278	 1624	  235	  239	  240	
[[141 145]]         	 2178	 2301	 1626	  218	  210	  211	
[[143 145]]         	 2230	 2287	 1632	  245	  246	  247	
[[139 141 143]]     	 2224	 2280	 1624	  236	  238	  239	
[[139 141 145]]     	 2219	 2286	 1625	  238	  236	  237	
[[139 143 145]]     	 2228	 2289	 1629	  244	  245	  246	
[[141 143 145]]     	 2226	 2284	 1628	  241	  241	  242	
[[139 141 143 145]] 	 2225	 2285	 1627	  240	  240	  241	
