combi               	x    	y    	z    	fixed	2D   	3D   
[[139 141]]         	 3127	 2800	 1621	   36	   29	   41	
[[139 143]]         	 3161	 2933	 1624	  143	  160	  162	
[[139 145]]         	 3127	 2836	 1606	   63	   63	   77	
[[141 143]]         	 3105	 2802	 1659	   44	   45	   46	
[[141 145]]         	 3282	 2757	 1645	  153	  143	  143	
[[143 145]]         	 3127	 2836	 1639	   61	   64	   64	
[[139 141 143]]     	 3119	 2813	 1637	   44	   44	   46	
[[139 141 145]]     	 3131	 2816	 1622	   44	   43	   51	
[[139 143 145]]     	 3129	 2842	 1625	   67	   69	   74	
[[141 143 145]]     	 3121	 2819	 1645	   49	   49	   49	
[[139 141 143 145]] 	 3124	 2823	 1632	   51	   51	   54	
