combi               	x    	y    	z    	fixed	2D   	3D   
[[139 141]]         	 1266	 2498	 1603	   46	   37	   60	
[[139 143]]         	 1229	 2433	 1652	   52	   52	   52	
[[139 145]]         	 1220	 2403	 1648	   80	   80	   80	
[[141 143]]         	 1223	 2547	 1610	   93	   98	  106	
[[141 145]]         	 1318	 2421	 1611	   50	   61	   72	
[[143 145]]         	 1222	 2402	 1664	   77	   79	   80	
[[139 141 143]]     	 1245	 2512	 1622	   56	   58	   64	
[[139 141 145]]     	 1255	 2447	 1622	   22	   23	   36	
[[139 143 145]]     	 1222	 2405	 1655	   76	   76	   77	
[[141 143 145]]     	 1232	 2459	 1630	   40	   41	   46	
[[139 141 143 145]] 	 1238	 2454	 1632	   36	   36	   40	
