combi               	x    	y    	z    	fixed	2D   	3D   
[[139 141]]         	 1515	 2042	 1623	   58	   52	   58	
[[139 143]]         	 1500	 2003	 1673	   52	   24	   33	
[[139 145]]         	 1478	 1946	 1662	   65	   62	   63	
[[141 143]]         	 1499	 2074	 1624	   82	   86	   90	
[[141 145]]         	 1588	 1957	 1618	   73	   75	   81	
[[143 145]]         	 1490	 1949	 1675	   50	   53	   58	
[[139 141 143]]     	 1510	 2056	 1640	   64	   66	   67	
[[139 141 145]]     	 1516	 1987	 1634	    6	    6	   17	
[[139 143 145]]     	 1486	 1951	 1672	   52	   53	   57	
[[141 143 145]]     	 1508	 1995	 1640	   13	   13	   16	
[[139 141 143 145]] 	 1506	 1995	 1647	   16	   16	   16	
