combi               	x    	y    	z    	fixed	2D   	3D   
[[139 141]]         	 1509	 1993	 1628	   36	   31	   38	
[[139 143]]         	 1444	 1874	 1666	   85	  108	  110	
[[139 145]]         	 1468	 1896	 1669	   81	   77	   79	
[[141 143]]         	 1456	 2046	 1622	   93	   97	  101	
[[141 145]]         	 1589	 1905	 1637	   99	  101	  102	
[[143 145]]         	 1437	 1898	 1673	   93	   95	   97	
[[139 141 143]]     	 1480	 2012	 1636	   53	   55	   57	
[[139 141 145]]     	 1510	 1938	 1645	   26	   26	   26	
[[139 143 145]]     	 1449	 1895	 1669	   88	   89	   91	
[[141 143 145]]     	 1468	 1954	 1645	   40	   39	   40	
[[139 141 143 145]] 	 1476	 1948	 1649	   35	   33	   33	
