combi               	x    	y    	z    	fixed	2D   	3D   
[[139 141]]         	 1989	 2196	 1618	   41	   34	   47	
[[139 143]]         	 1975	 2239	 1639	   60	   78	   79	
[[139 145]]         	 2003	 2227	 1630	   59	   57	   61	
[[141 143]]         	 1947	 2230	 1633	   88	   88	   90	
[[141 145]]         	 1918	 2242	 1617	  108	  119	  123	
[[143 145]]         	 1954	 2239	 1634	   87	   90	   92	
[[139 141 143]]     	 1966	 2216	 1632	   65	   65	   68	
[[139 141 145]]     	 1989	 2215	 1622	   52	   50	   58	
[[139 143 145]]     	 1974	 2234	 1634	   72	   74	   76	
[[141 143 145]]     	 1948	 2234	 1628	   89	   91	   93	
[[139 141 143 145]] 	 1968	 2225	 1629	   70	   71	   74	
