combi               	x    	y    	z    	fixed	2D   	3D   
[[139 141]]         	 1509	 1993	 1628	   13	    8	   24	
[[139 143]]         	 1444	 1874	 1666	  111	  136	  137	
[[139 145]]         	 1468	 1896	 1669	  109	  105	  106	
[[141 143]]         	 1456	 2046	 1622	   80	   83	   87	
[[141 145]]         	 1589	 1905	 1637	  109	  111	  112	
[[143 145]]         	 1437	 1898	 1673	  118	  120	  123	
[[139 141 143]]     	 1480	 2012	 1636	   42	   42	   44	
[[139 141 145]]     	 1510	 1938	 1645	   52	   52	   52	
[[139 143 145]]     	 1449	 1895	 1669	  115	  116	  117	
[[141 143 145]]     	 1468	 1954	 1645	   61	   60	   60	
[[139 141 143 145]] 	 1476	 1948	 1649	   59	   57	   57	
