combi               	x    	y    	z    	fixed	2D   	3D   
[[139 141]]         	 3127	 2800	 1621	   27	   23	   37	
[[139 143]]         	 3161	 2933	 1624	  115	  132	  135	
[[139 145]]         	 3127	 2836	 1606	   40	   42	   60	
[[141 143]]         	 3105	 2802	 1659	   43	   45	   46	
[[141 145]]         	 3282	 2757	 1645	  149	  139	  139	
[[143 145]]         	 3127	 2836	 1639	   40	   42	   43	
[[139 141 143]]     	 3119	 2813	 1637	   35	   33	   36	
[[139 141 145]]     	 3131	 2816	 1622	   25	   24	   37	
[[139 143 145]]     	 3129	 2842	 1625	   45	   46	   53	
[[141 143 145]]     	 3121	 2819	 1645	   34	   34	   35	
[[139 141 143 145]] 	 3124	 2823	 1632	   34	   34	   38	
