D;1;2;3;4;5;6
1;0;;;;;
2;2.275;0;;;;
3;3.019;2.252;0;;;
4;1.752;3.077;2.325;0;;
5;0.766;1.536;2.365;1.797;0;
6;2.558;2.152;0.497;1.811;1.948;0
