combi               	x    	y    	z    	fixed	2D   	3D   
[[139 141]]         	 2654	 2549	 1618	   39	   31	   45	
[[139 143]]         	 2717	 2739	 1632	  187	  216	  216	
[[139 145]]         	 2658	 2580	 1616	   56	   56	   65	
[[141 143]]         	 2647	 2555	 1657	   40	   40	   41	
[[141 145]]         	 2642	 2569	 1632	   34	   54	   57	
[[143 145]]         	 2663	 2580	 1649	   55	   55	   55	
[[139 141 143]]     	 2653	 2562	 1639	   42	   42	   43	
[[139 141 145]]     	 2655	 2566	 1622	   45	   44	   52	
[[139 143 145]]     	 2663	 2586	 1635	   59	   61	   62	
[[141 143 145]]     	 2655	 2567	 1647	   45	   45	   46	
[[139 141 143 145]] 	 2656	 2570	 1636	   47	   47	   49	
